t,name,x,y,heading,v,rudder,throttle,alpha
46.0,lead,-23906.970211944503,24996.23354323447,2.604413930963808,796.9997075458632,0.0,0.0,-0.007014329545432977
46.0,wingman,-22105.23115403603,15987.807378999956,2.851520396366559,850.1179009522934,-0.174533,-68.63191,0.001947481731017176
47.0,lead,-24591.717120881487,25404.069545226295,2.604413927282141,796.9997075350988,0.0,0.0,-0.007014329574531542
47.0,wingman,-22927.388843916502,16201.659584963787,2.90843269551723,847.7358706069352,-0.174533,-58.856533,-0.0019188173753933245
48.0,lead,-25276.46402981064,25811.90554721167,2.6044139289154318,796.9997075258985,0.0,0.0,-0.0070143297082392135
48.0,wingman,-23750.64764893061,16386.592645273307,2.926556982615585,839.238184758835,-0.13539287,96.41577,-0.01025620340697047
49.0,lead,-25961.21093873279,26219.741549192928,2.604413926632522,796.999707518878,0.0,0.0,-0.007014329877301083
49.0,wingman,-24560.979837242627,16587.76341728094,2.867291145664849,831.3510840850693,-0.13483404,-48.752014,0.006762233985823607
50.0,lead,-26645.957847647016,26627.577551175676,2.604413927135022,796.9997075137461,0.0,0.0,-0.007014330043388598
50.0,wingman,-25346.72451073031,16846.656393036275,2.734736217504834,823.5103023624158,0.109218016,-33.77091,0.03334656059935764
51.0,lead,-27330.70475655959,27035.413553152794,2.6044139287491435,796.9997075102281,0.0,0.0,-0.007014330187682653
51.0,wingman,-26081.966423101174,17204.0927864485,2.5896627781236994,812.9925709464197,-0.008629397,-85.905396,0.03134793447714511
52.0,lead,-28015.451665468932,27443.24955512977,2.604413927336468,796.9997075079915,0.0,0.0,-0.007014330302061719
52.0,wingman,-26771.006024358576,17626.089395621948,2.5825557880790466,803.047386552893,-0.174533,31.475128,-0.0038242850917505544
53.0,lead,-28700.19857437646,27851.08555710635,2.6044139281775216,796.9997075066567,0.0,0.0,-0.007014330387494212
53.0,wingman,-27437.464201389153,18065.059710244223,2.531676446931291,793.2714227079806,0.174533,-96.5,0.0064777618254791055
54.0,lead,-29384.94548328452,28258.921559080118,2.604413929161962,796.9997075059661,0.0,0.0,-0.007014330447620928
54.0,wingman,-28075.695313880125,18528.069252773585,2.509247147860728,783.586027118003,-0.0069436133,36.60669,-0.010085131896742728
55.0,lead,-30069.6923921926,28666.757561052927,2.6044139248127127,796.9997075056821,0.0,0.0,-0.00701433048659703
55.0,wingman,-28709.08005013812,18981.185106213954,2.531174925633379,774.1688072205217,-0.11903547,93.25481,0.0007514941260716454
56.0,lead,-30754.43930109812,29074.59356302972,2.6044139280423693,796.9997075056375,0.0,0.0,-0.007014330510987999
56.0,wingman,-29346.248650078447,19413.596222236418,2.548777614023158,766.2484092756284,0.04663384,-51.90853,-0.00759104512395859
57.0,lead,-31439.18621000373,29482.429565006427,2.604413926416829,796.9997075057264,0.0,0.0,-0.007014330523890991
57.0,wingman,-29969.731898490325,19854.113281547165,2.5141238021579637,761.1071579056706,-0.062160507,96.5,0.0018849326147369159
58.0,lead,-32123.933118909485,29890.265566983107,2.6044139286757155,796.999707505864,0.0,0.0,-0.007014330530255657
58.0,wingman,-30572.490735999498,20316.8072441291,2.4607249278475716,759.8766279930204,0.174533,-73.8217,0.008288741130118236
59.0,lead,-32808.68002781762,30298.101568956085,2.6044139277201994,796.9997075060143,0.0,0.0,-0.007014330532119394
59.0,wingman,-31160.098289348316,20803.10815113712,2.445636445639023,767.0115420640507,-0.011694938,56.777283,-0.007787162228286744
60.0,lead,-33493.42693672261,30705.937570934628,2.6044139272334004,796.9997075061535,0.0,0.0,-0.007014330531064014
60.0,wingman,-31767.963004234367,21285.384375512527,2.503831818784483,789.5141716250615,0.13522278,-28.281197,0.009755190954474054
61.0,lead,-34178.17384563205,31113.77357290595,2.604413928107669,796.9997075062621,0.0,0.0,-0.007014330529757661
61.0,wingman,-32434.981894900888,21736.434479071264,2.635132293771906,821.6146146044673,0.0288634,96.5,0.03316765901539945
62.0,lead,-34862.92075453855,31521.60957488242,2.6044139265195425,796.9997075063511,0.0,0.0,-0.007014330527231198
62.0,wingman,-33183.41974614879,22110.037063478518,2.7466038173643916,852.9082824985821,0.07365163,96.5,0.012257930049383893
63.0,lead,-35547.66766344321,31929.445576862116,2.6044139310678465,796.9997075064095,0.0,0.0,-0.007014330525402293
63.0,wingman,-33991.31541328906,22429.093131782876,2.8019690609903023,884.6575677732565,0.008261755,-0.23448181,0.007831509548707188
64.0,lead,-36232.41457235242,32337.28157883425,2.604413926996666,796.9997075064556,0.0,0.0,-0.0070143305233167684
64.0,wingman,-34844.59408686702,22708.089199987724,2.834234235908733,905.0928190943854,-0.174533,96.5,-0.00899270486521401
65.0,lead,-36917.16148126054,32745.117580808277,2.6044139284530603,796.9997075064784,0.0,0.0,-0.007014330522261967
65.0,wingman,-35710.26734372534,22971.432238656882,2.852755239309264,902.684340756018,-0.15899362,96.5,-0.012154613815147462
66.0,lead,-37601.908390168035,33152.953582783404,2.6044139272736766,796.999707506496,0.0,0.0,-0.007014330521075954
66.0,wingman,-36564.036903679815,23252.86842053298,2.7956331235934986,896.3182828955712,-0.010904998,51.40944,0.0029248346987418086
67.0,lead,-38286.655299073944,33560.789584761216,2.6044139271797486,796.9997075065054,0.0,0.0,-0.007014330520113183
67.0,wingman,-37392.90987060366,23594.427741481886,2.673068214993922,898.9484778112687,0.054109544,-3.4838715,0.024612983449228073
68.0,lead,-38971.40220798343,33968.625586733026,2.6044139286760153,796.9997075065039,0.0,0.0,-0.00701433052021226
68.0,wingman,-38174.94080179759,24036.531757366567,2.5681895645615382,897.2992085933508,0.019066826,82.43327,0.0064259080244827346
69.0,lead,-39656.14911689209,34376.46158870623,2.6044139249066216,796.999707506508,0.0,0.0,-0.007014330519592167
69.0,wingman,-38920.69316691646,24531.73736962765,2.5522255426726583,894.5716211828096,0.025828466,87.65915,-0.011432107915741231
70.0,lead,-40340.89602579818,34784.29759068374,2.6044139280848158,796.9997075065035,0.0,0.0,-0.007014330519702115
70.0,wingman,-39664.665098022066,25033.076503650187,2.5457913538845753,900.2007547925392,-0.174533,-58.332645,-0.011225815272896178
71.0,lead,-41025.64293470446,35192.13359266093,2.6044139264967674,796.9997075065054,0.0,0.0,-0.007014330519224055
71.0,wingman,-40414.60463940965,25530.597819077357,2.560975168436142,897.8480313897556,-0.174533,-96.5,-0.011535789198894605
72.0,lead,-41710.3898436107,35599.96959463821,2.604413928801126,796.9997075065013,0.0,0.0,-0.007014330519373174
72.0,wingman,-41146.86123093547,26042.903849131937,2.5013959019918293,889.1993858232202,0.16766839,-12.084938,0.004154830989958797
73.0,lead,-42395.13675251936,36007.80559661142,2.6044139276796643,796.9997075064996,0.0,0.0,-0.007014330519432496
73.0,wingman,-41833.61713985914,26599.17703204776,2.4281762398087015,878.6685949216635,-0.1654279,51.24951,0.000838661975920019
74.0,lead,-43079.8836614251,36415.6415985895,2.604413927039519,796.9997075065012,0.0,0.0,-0.00701433051909535
74.0,wingman,-42477.17437061126,27188.724496013667,2.3612653933085515,867.1915731154874,-0.106015906,31.71135,0.00899244763222946
75.0,lead,-43764.63057033481,36823.47760056094,2.6044139284126286,796.9997075064955,0.0,0.0,-0.007014330519711597
75.0,wingman,-43060.84169286916,27821.82027894919,2.221778590243044,855.8371612609823,0.11190848,-96.5,0.03391969544076128
76.0,lead,-44449.377479241266,37231.31360253783,2.6044139267945736,796.999707506498,0.0,0.0,-0.007014330519355154
76.0,wingman,-43570.75232420431,28501.67974616448,2.2064756410338195,843.924552874736,-0.10238464,65.13484,-0.012298682631542827
77.0,lead,-45134.12438814772,37639.14960451473,2.6044139284659646,796.9997075064958,0.0,0.0,-0.007014330519486473
77.0,wingman,-44065.58524585386,29178.118129693365,2.2013504416764924,832.3893677328242,-0.050922185,59.96463,-0.009016573579728451
78.0,lead,-45818.871297057114,38046.985606486676,2.604413928475013,796.9997075064933,0.0,0.0,-0.00701433051983834
78.0,wingman,-44539.70643794813,29856.0952785708,2.157535847035713,822.938886345727,0.10991119,-67.00014,0.004018177835367397
79.0,lead,-46503.61820596329,38454.82160846402,2.6044139273243623,796.9997075064963,0.0,0.0,-0.007014330519490589
79.0,wingman,-44981.27026003142,30545.434556910404,2.1348100095325844,813.909446973694,-0.174533,96.5,-0.010648827288196003
80.0,lead,-47188.36511487048,38862.65761043969,2.6044139287506693,796.9997075064937,0.0,0.0,-0.0070143305196941706
80.0,wingman,-45416.30348521229,31228.116665693495,2.138306463675802,805.5594109838439,-0.174533,57.96634,-0.0076446418786513485
81.0,lead,-47873.11202378016,39270.493612411155,2.6044139287563404,796.9997075064919,0.0,0.0,-0.00701433052007504
81.0,wingman,-45827.2125038559,31917.526394514556,2.067291062613999,800.3984953049023,0.174533,87.83539,0.012696103283240055
82.0,lead,-48557.858932685274,39678.32961439028,2.6044139276877045,796.9997075064953,0.0,0.0,-0.007014330519560844
82.0,wingman,-46189.61812488369,32630.52254625998,2.0304992316081956,800.7778492955459,-0.06938195,96.5,-0.006205683047244285
83.0,lead,-49242.6058415926,40086.16561636571,2.6044139262784958,796.9997075064979,0.0,0.0,-0.007014330519355203
83.0,wingman,-46532.45750762111,33358.553493173364,2.003360400293008,810.0227109253411,0.174533,-35.126877,-0.0037137872445103582
84.0,lead,-49927.352750499515,40494.00161834185,2.6044139280714718,796.9997075064956,0.0,0.0,-0.007014330519547516
84.0,wingman,-46869.4990491277,34109.76168333915,1.9878392724271885,838.489572902293,0.0400023,-96.5,-0.00968562447748125
85.0,lead,-50612.09965940773,40901.837620315775,2.604413928975359,796.9997075064938,0.0,0.0,-0.007014330519813536
85.0,wingman,-47233.77282499417,34872.84688547843,2.0472676989853325,848.7351215863921,0.0038880855,96.5,0.006250783586188482
86.0,lead,-51296.84656831718,41309.67362228765,2.6044139245230964,796.9997075064967,0.0,0.0,-0.007014330519506168
86.0,wingman,-47656.943788622724,35610.719723466835,2.167736257698357,854.7779104875265,0.03683582,16.93618,0.025334679156896387
87.0,lead,-51981.59347722269,41717.50962426612,2.6044139280648944,796.9997075064949,0.0,0.0,-0.007014330519727009
87.0,wingman,-48154.40803608094,36316.5456814379,2.2067891983803705,877.0635623705112,0.06762591,46.972626,-0.0017411159904810105
88.0,lead,-52666.34038612925,42125.34562624282,2.604413926617389,796.9997075064972,0.0,0.0,-0.007014330519385188
88.0,wingman,-48704.36729768505,37018.78640909855,2.2593174507074605,903.6447556793099,0.005267754,96.5,0.0010155488726340037
89.0,lead,-53351.08729503542,42533.181628220205,2.604413928858775,796.9997075064952,0.0,0.0,-0.00701433051953406
89.0,wingman,-49297.21551832529,37703.332469839566,2.2911942293798915,905.0852496830524,0.0188597,90.85152,-0.009434965174967898
90.0,lead,-54035.83420394409,42941.01763019339,2.604413927668678,796.9997075064957,0.0,0.0,-0.007014330519574729
90.0,wingman,-49904.356545570074,38369.692538743315,2.310894561131179,897.4534641603898,-0.174533,-64.55479,-0.0113521637799121
91.0,lead,-54720.58111285159,43348.85363216852,2.6044139276393627,796.9997075064956,0.0,0.0,-0.007014330519589096
91.0,wingman,-50509.97090505244,39026.34459642578,2.318135055836668,888.4655334634939,0.033944875,2.2735825,-0.009782693243696286
92.0,lead,-55405.32802175673,43756.68963414765,2.6044139264535064,796.9997075064999,0.0,0.0,-0.007014330519048853
92.0,wingman,-51088.412997711646,39693.519749897576,2.248345804948835,877.7252810973505,-0.040006727,47.98407,0.007602413776740804
