t,x,y,heading,v,rudder,throttle
23.0,-8157.791211259144,15616.005440366689,2.604413924847722,796.9998044077001,0.0,0.0
23.0,-2584.5106882156356,14556.598592452152,2.7596626963840727,860.2849931708655,0.174533,96.5
24.0,-8842.538185598682,16023.841482186826,2.6044139286986856,796.999758677484,0.0,0.0
24.0,-3381.370749733492,14866.019350990264,2.7776600277290493,849.9735305500883,-0.012756214,10.128029
25.0,-9527.285125211298,16431.677501881226,2.6044139286649033,796.9997349288375,0.0,0.0
25.0,-4182.626453518345,15137.767247690543,2.8631590885801517,843.0641290139489,-0.1393155,-68.20352
26.0,-10212.032053585921,16839.51351469468,2.604413929326334,796.9997221969265,0.0,0.0
26.0,-4991.82167770387,15361.093558569586,2.8799652397509847,835.0924885661065,0.102901295,-43.189133
27.0,-10896.778968405537,17247.349519933785,2.604413928374449,796.999708921087,0.0,0.0
27.0,-5790.186435429634,15588.856714924488,2.8623351269926887,825.2365317455593,0.174533,96.5
28.0,-11581.525877204567,17655.1855221522,2.604413927334697,796.9997062595174,0.0,0.0
28.0,-6577.247645736409,15820.968775542924,2.853896037874307,816.3659748115289,0.16844158,-52.528282
29.0,-12266.272783026876,18063.02152281265,2.6044139284175047,796.9997023836016,0.0,0.0
29.0,-7364.601494579489,16026.431953408248,2.928625594007497,812.8113151958922,0.1519622,96.5
30.0,-12951.019687120208,18470.85752234571,2.6044139273845874,796.9997023580278,0.0,0.0
30.0,-8167.5805666607375,16162.550799352506,3.07449328004239,818.4818314599711,-0.1690491,96.5
31.0,-13635.766591692372,18878.693521903686,2.6044139265684993,796.9997025852656,0.0,0.0
31.0,-8992.33247980596,16185.785888348206,3.1661231879948923,837.8218478472503,-0.019497737,72.81885
32.0,-14320.51349659922,19286.529521444383,2.604413929011656,796.9997032775857,0.0,0.0
32.0,-9845.101887601615,16153.786790723496,3.1818268026160013,868.9762054768963,0.15093853,12.234253
33.0,-15005.260402433329,19694.365521440042,2.6044139278211365,796.999704344404,0.0,0.0
33.0,-10728.313296416187,16106.782111090035,3.201116889531445,899.5951536993917,-0.12282959,79.91986
34.0,-15690.007308997152,20102.201521895935,2.6044139276673692,796.9997051001005,0.0,0.0
34.0,-11629.608187243328,16031.869962467974,3.227512965656353,905.6097952261367,0.13263987,96.5
35.0,-16374.754216220266,20510.037522812734,2.6044139275338596,796.9997059087632,0.0,0.0
35.0,-12528.247701443599,15944.839004347514,3.2416318479191233,899.1221097806543,-0.14163399,51.608566
36.0,-17059.501123998463,20917.873524129944,2.604413925127832,796.9997064535837,0.0,0.0
36.0,-13418.485858644892,15838.594609937698,3.266673147280377,895.3666262108823,0.05028899,45.421234
37.0,-17744.24803218016,21325.70952570151,2.604413929442739,796.9997068861123,0.0,0.0
37.0,-14310.759288528554,15741.77335051296,3.2480160292946314,900.1702967145321,0.06243688,28.760384
38.0,-18428.99494068568,21733.54552745405,2.6044139281830354,796.9997071809747,0.0,0.0
38.0,-15206.546614115956,15657.116877589457,3.2319352921715727,898.3039167514579,0.038220033,15.81427
39.0,-19113.74184939407,22141.381529317292,2.6044139252585445,796.9997073648835,0.0,0.0
39.0,-16099.00614415437,15556.33836215373,3.2744382201980953,898.9903372605775,-0.174533,96.5
40.0,-19798.48875824053,22549.21753124603,2.6044139301155083,796.9997074833944,0.0,0.0
40.0,-16987.986549263882,15421.270881423137,3.3011950430157313,898.5683537709463,-0.174533,-55.849274
41.0,-20483.2356671634,22957.053533212955,2.6044139272383706,796.9997075407913,0.0,0.0
41.0,-17875.974030356578,15298.81840000552,3.258689469373385,893.2315022469028,-0.08746711,-69.71507
42.0,-21167.98257611934,23364.889535205202,2.604413928841776,796.9997075687987,0.0,0.0
42.0,-18761.963135066675,15232.944622584871,3.145726081932268,883.8491866450541,-0.056629546,68.89815
43.0,-21852.729485087362,23772.725537208335,2.604413924088324,796.9997075738469,0.0,0.0
43.0,-19638.49551168824,15272.475494881186,2.9769357683900437,872.2116743840336,-0.05097954,96.5
44.0,-22537.47639404734,24180.56153922241,2.604413928209949,796.9997075682475,0.0,0.0
44.0,-20484.17332492346,15453.936574393803,2.7995285095194578,860.3900382746554,0.1478544,96.5
45.0,-23222.22330300087,24588.39754123145,2.604413926985682,796.9997075578674,0.0,0.0
45.0,-21295.682389168378,15727.059528250034,2.8079302724950415,852.5014002413551,0.1566074,17.294655
46.0,-23906.970211944503,24996.23354323447,2.604413930963808,796.9997075458632,0.0,0.0
46.0,-22105.23115403603,15987.807378999956,2.851520396366559,850.1179009522934,-0.174533,-68.63191
47.0,-24591.717120881487,25404.069545226295,2.604413927282141,796.9997075350988,0.0,0.0
47.0,-22927.388843916502,16201.659584963787,2.90843269551723,847.7358706069352,-0.174533,-58.856533
48.0,-25276.46402981064,25811.90554721167,2.6044139289154318,796.9997075258985,0.0,0.0
48.0,-23750.64764893061,16386.592645273307,2.926556982615585,839.238184758835,-0.13539287,96.41577
49.0,-25961.21093873279,26219.741549192928,2.604413926632522,796.999707518878,0.0,0.0
49.0,-24560.979837242627,16587.76341728094,2.867291145664849,831.3510840850693,-0.13483404,-48.752014
50.0,-26645.957847647016,26627.577551175676,2.604413927135022,796.9997075137461,0.0,0.0
50.0,-25346.72451073031,16846.656393036275,2.734736217504834,823.5103023624158,0.109218016,-33.77091
51.0,-27330.70475655959,27035.413553152794,2.6044139287491435,796.9997075102281,0.0,0.0
51.0,-26081.966423101174,17204.0927864485,2.5896627781236994,812.9925709464197,-0.008629397,-85.905396
52.0,-28015.451665468932,27443.24955512977,2.604413927336468,796.9997075079915,0.0,0.0
52.0,-26771.006024358576,17626.089395621948,2.5825557880790466,803.047386552893,-0.174533,31.475128
53.0,-28700.19857437646,27851.08555710635,2.6044139281775216,796.9997075066567,0.0,0.0
53.0,-27437.464201389153,18065.059710244223,2.531676446931291,793.2714227079806,0.174533,-96.5
54.0,-29384.94548328452,28258.921559080118,2.604413929161962,796.9997075059661,0.0,0.0
54.0,-28075.695313880125,18528.069252773585,2.509247147860728,783.586027118003,-0.0069436133,36.60669
55.0,-30069.6923921926,28666.757561052927,2.6044139248127127,796.9997075056821,0.0,0.0
55.0,-28709.08005013812,18981.185106213954,2.531174925633379,774.1688072205217,-0.11903547,93.25481
56.0,-30754.43930109812,29074.59356302972,2.6044139280423693,796.9997075056375,0.0,0.0
56.0,-29346.248650078447,19413.596222236418,2.548777614023158,766.2484092756284,0.04663384,-51.90853
57.0,-31439.18621000373,29482.429565006427,2.604413926416829,796.9997075057264,0.0,0.0
57.0,-29969.731898490325,19854.113281547165,2.5141238021579637,761.1071579056706,-0.062160507,96.5
58.0,-32123.933118909485,29890.265566983107,2.6044139286757155,796.999707505864,0.0,0.0
58.0,-30572.490735999498,20316.8072441291,2.4607249278475716,759.8766279930204,0.174533,-73.8217
59.0,-32808.68002781762,30298.101568956085,2.6044139277201994,796.9997075060143,0.0,0.0
59.0,-31160.098289348316,20803.10815113712,2.445636445639023,767.0115420640507,-0.011694938,56.777283
60.0,-33493.42693672261,30705.937570934628,2.6044139272334004,796.9997075061535,0.0,0.0
60.0,-31767.963004234367,21285.384375512527,2.503831818784483,789.5141716250615,0.13522278,-28.281197
61.0,-34178.17384563205,31113.77357290595,2.604413928107669,796.9997075062621,0.0,0.0
61.0,-32434.981894900888,21736.434479071264,2.635132293771906,821.6146146044673,0.0288634,96.5
62.0,-34862.92075453855,31521.60957488242,2.6044139265195425,796.9997075063511,0.0,0.0
62.0,-33183.41974614879,22110.037063478518,2.7466038173643916,852.9082824985821,0.07365163,96.5
63.0,-35547.66766344321,31929.445576862116,2.6044139310678465,796.9997075064095,0.0,0.0
63.0,-33991.31541328906,22429.093131782876,2.8019690609903023,884.6575677732565,0.008261755,-0.23448181
64.0,-36232.41457235242,32337.28157883425,2.604413926996666,796.9997075064556,0.0,0.0
64.0,-34844.59408686702,22708.089199987724,2.834234235908733,905.0928190943854,-0.174533,96.5
65.0,-36917.16148126054,32745.117580808277,2.6044139284530603,796.9997075064784,0.0,0.0
65.0,-35710.26734372534,22971.432238656882,2.852755239309264,902.684340756018,-0.15899362,96.5
66.0,-37601.908390168035,33152.953582783404,2.6044139272736766,796.999707506496,0.0,0.0
66.0,-36564.036903679815,23252.86842053298,2.7956331235934986,896.3182828955712,-0.010904998,51.40944
67.0,-38286.655299073944,33560.789584761216,2.6044139271797486,796.9997075065054,0.0,0.0
67.0,-37392.90987060366,23594.427741481886,2.673068214993922,898.9484778112687,0.054109544,-3.4838715
68.0,-38971.40220798343,33968.625586733026,2.6044139286760153,796.9997075065039,0.0,0.0
68.0,-38174.94080179759,24036.531757366567,2.5681895645615382,897.2992085933508,0.019066826,82.43327
69.0,-39656.14911689209,34376.46158870623,2.6044139249066216,796.999707506508,0.0,0.0
69.0,-38920.69316691646,24531.73736962765,2.5522255426726583,894.5716211828096,0.025828466,87.65915
70.0,-40340.89602579818,34784.29759068374,2.6044139280848158,796.9997075065035,0.0,0.0
70.0,-39664.665098022066,25033.076503650187,2.5457913538845753,900.2007547925392,-0.174533,-58.332645
71.0,-41025.64293470446,35192.13359266093,2.6044139264967674,796.9997075065054,0.0,0.0
71.0,-40414.60463940965,25530.597819077357,2.560975168436142,897.8480313897556,-0.174533,-96.5
72.0,-41710.3898436107,35599.96959463821,2.604413928801126,796.9997075065013,0.0,0.0
72.0,-41146.86123093547,26042.903849131937,2.5013959019918293,889.1993858232202,0.16766839,-12.084938
73.0,-42395.13675251936,36007.80559661142,2.6044139276796643,796.9997075064996,0.0,0.0
73.0,-41833.61713985914,26599.17703204776,2.4281762398087015,878.6685949216635,-0.1654279,51.24951
74.0,-43079.8836614251,36415.6415985895,2.604413927039519,796.9997075065012,0.0,0.0
74.0,-42477.17437061126,27188.724496013667,2.3612653933085515,867.1915731154874,-0.106015906,31.71135
75.0,-43764.63057033481,36823.47760056094,2.6044139284126286,796.9997075064955,0.0,0.0
75.0,-43060.84169286916,27821.82027894919,2.221778590243044,855.8371612609823,0.11190848,-96.5
76.0,-44449.377479241266,37231.31360253783,2.6044139267945736,796.999707506498,0.0,0.0
76.0,-43570.75232420431,28501.67974616448,2.2064756410338195,843.924552874736,-0.10238464,65.13484
77.0,-45134.12438814772,37639.14960451473,2.6044139284659646,796.9997075064958,0.0,0.0
77.0,-44065.58524585386,29178.118129693365,2.2013504416764924,832.3893677328242,-0.050922185,59.96463
78.0,-45818.871297057114,38046.985606486676,2.604413928475013,796.9997075064933,0.0,0.0
78.0,-44539.70643794813,29856.0952785708,2.157535847035713,822.938886345727,0.10991119,-67.00014
79.0,-46503.61820596329,38454.82160846402,2.6044139273243623,796.9997075064963,0.0,0.0
79.0,-44981.27026003142,30545.434556910404,2.1348100095325844,813.909446973694,-0.174533,96.5
80.0,-47188.36511487048,38862.65761043969,2.6044139287506693,796.9997075064937,0.0,0.0
80.0,-45416.30348521229,31228.116665693495,2.138306463675802,805.5594109838439,-0.174533,57.96634
81.0,-47873.11202378016,39270.493612411155,2.6044139287563404,796.9997075064919,0.0,0.0
81.0,-45827.2125038559,31917.526394514556,2.067291062613999,800.3984953049023,0.174533,87.83539
82.0,-48557.858932685274,39678.32961439028,2.6044139276877045,796.9997075064953,0.0,0.0
82.0,-46189.61812488369,32630.52254625998,2.0304992316081956,800.7778492955459,-0.06938195,96.5
83.0,-49242.6058415926,40086.16561636571,2.6044139262784958,796.9997075064979,0.0,0.0
83.0,-46532.45750762111,33358.553493173364,2.003360400293008,810.0227109253411,0.174533,-35.126877
84.0,-49927.352750499515,40494.00161834185,2.6044139280714718,796.9997075064956,0.0,0.0
84.0,-46869.4990491277,34109.76168333915,1.9878392724271885,838.489572902293,0.0400023,-96.5
85.0,-50612.09965940773,40901.837620315775,2.604413928975359,796.9997075064938,0.0,0.0
85.0,-47233.77282499417,34872.84688547843,2.0472676989853325,848.7351215863921,0.0038880855,96.5
86.0,-51296.84656831718,41309.67362228765,2.6044139245230964,796.9997075064967,0.0,0.0
86.0,-47656.943788622724,35610.719723466835,2.167736257698357,854.7779104875265,0.03683582,16.93618
87.0,-51981.59347722269,41717.50962426612,2.6044139280648944,796.9997075064949,0.0,0.0
87.0,-48154.40803608094,36316.5456814379,2.2067891983803705,877.0635623705112,0.06762591,46.972626
88.0,-52666.34038612925,42125.34562624282,2.604413926617389,796.9997075064972,0.0,0.0
88.0,-48704.36729768505,37018.78640909855,2.2593174507074605,903.6447556793099,0.005267754,96.5
89.0,-53351.08729503542,42533.181628220205,2.604413928858775,796.9997075064952,0.0,0.0
89.0,-49297.21551832529,37703.332469839566,2.2911942293798915,905.0852496830524,0.0188597,90.85152
90.0,-54035.83420394409,42941.01763019339,2.604413927668678,796.9997075064957,0.0,0.0
90.0,-49904.356545570074,38369.692538743315,2.310894561131179,897.4534641603898,-0.174533,-64.55479
91.0,-54720.58111285159,43348.85363216852,2.6044139276393627,796.9997075064956,0.0,0.0
