time,lat(pos_n),lon(pos_e),alt,vt,vn,ve,vd
0,123.0,44.0,1123.0,502.0,490.2874386294875,104.21381218508584,-19.522875428903944
0.01,127.91031892647341,45.04372050771349,1123.0003574715136,502.003863349439,490.29418981628504,104.21524715729493,-19.519013732643884
0.02,132.82068090845434,46.087450167076206,1123.0013898560228,502.00881421012554,490.3021915534444,104.21694776502427,-19.509695068583465
0.03,137.73109628234087,47.13119117498568,1123.0030445022423,502.0148053230445,490.3111674692678,104.21885518126484,-19.49844943589091
0.04,142.64157494797863,48.17494563562809,1123.005277557786,502.021796307184,490.32087002426834,104.22091677152815,-19.488510865731516
0.05,147.55212638763334,49.21871556468338,1123.0080527871512,502.02975284001525,490.3310757933897,104.22308505402754,-19.48286580106133
0.060000000000000005,152.46275989755455,50.26250293762077,1123.0113476091321,502.038648032682,490.3416057017391,104.22532220288994,-19.483989390008677
0.07,157.3734845744185,51.306309687698885,1123.0151465937297,502.04845851339815,490.352300618963,104.2275946647389,-19.494114981514493
0.08,162.2843093043548,52.350137703771495,1123.019440483019,502.05916393580736,490.3630171545073,104.22987223446523,-19.515275293262636
0.09,167.19524276294624,53.39398883028754,1123.0242261911496,502.07074697898275,490.37362695035665,104.23212790489382,-19.549302410157672
0.09999999999999999,172.1062934152291,54.437864867291154,1123.0295068043458,502.08319334742714,490.3840159896137,104.23433771981584,-19.597827776447296
0.10999999999999999,177.01746951569277,55.481767570421596,1123.0352915809062,502.09649177107275,490.3940839581393,104.23648063829866,-19.6622821830127
0.11999999999999998,181.92877910828014,56.52569865091332,1123.041595951204,502.11063400528167,490.4037436920554,104.23853841724532,-19.74389575115195
0.12999999999999998,186.84023008234857,57.56965978777765,1123.0484368229281,502.1256123314949,490.4129076449144,104.24049267061122,-19.843846323824916
0.13999999999999999,191.7518305646224,58.6136527103093,1123.0558389841422,502.14141839232315,490.4215050767397,104.24232869753436,-19.963005188159716
0.15,196.66358872572872,59.65767915666753,1123.0638410829913,502.15804686997626,490.4294978810301,104.24403890436196,-20.101765848668474
0.16,201.57551260041703,60.70174083664424,1123.0724838953795,502.1754920475797,490.43684771362757,104.24561559715363,-20.2604522153029
0.17,206.48761008694976,61.74583943154378,1123.0818102024896,502.1937477628485,490.4435156701165,104.2470509110349,-20.43932269919652
0.18000000000000002,211.39988894710228,62.78997659418287,1123.091864790783,502.212807408087,490.44946235839575,104.24833682561086,-20.638570198265178
0.19000000000000003,216.3123568061629,63.83415394889061,1123.102694451999,502.23266393018895,490.4546480257543,104.2494651919652,-20.85832208189251
0.20000000000000004,221.2250211529329,64.87837309150854,1123.1143479831567,502.2533098306376,490.45903274091495,104.25042777134391,-21.098640174824713
0.21000000000000005,226.13788933972648,65.92263558939054,1123.126876186553,502.2747371655055,490.46257663111976,104.25121628553914,-21.359520740414858
0.22000000000000006,231.05096858237087,66.96694298140294,1123.1403318697637,502.2969375454547,490.46524017394273,104.25182247890676,-21.64089446337295
0.23000000000000007,235.96426596020612,68.01129677792441,1123.1547698456427,502.31990213573647,490.46698454312786,104.25223819186861,-21.942626432192675
0.24000000000000007,240.87778841608534,69.05569846084607,1123.1702469323234,502.3436216561918,490.4677720073629,104.25245544566796,-22.264516121439726
0.25000000000000006,245.7915428024316,70.10014949323569,1123.1868201811535,502.3680867857487,490.46756360946245,104.25246595633881,-22.606339352026374
0.26000000000000006,250.70553626741003,71.14465140014075,1123.20454021843,502.3932906044029,490.4663154890667,104.25226050425368,-22.96794508017398
0.2700000000000001,255.61977563906694,72.18920563892311,1123.2234780696303,502.41922247104054,490.4640262751138,104.25183899300929,-23.348575636551434
0.2800000000000001,260.5342674411627,73.23381360270692,1123.243707640529,502.445869772923,490.4606997881274,104.25120238592169,-23.747386467429887
0.2900000000000001,265.4490179627589,74.27847663500374,1123.2653014752657,502.4732186979028,490.4563377058525,104.25035114361559,-24.163557028605663
0.3000000000000001,270.3640332582182,75.3231960297127,1123.288330756347,502.50125423442285,490.45093985119837,104.2492852852271,-24.59629077743536
0.3100000000000001,275.27931914720466,76.36797303112037,1123.3128653046454,502.52996017151713,490.4445044302541,104.24800443899511,-25.044815164823287
0.3200000000000001,280.1948812146831,77.4128088339008,1123.338973579399,502.55931909881014,490.4370282236665,104.24650788294124,-25.508381627218473
0.3300000000000001,285.1107248109199,78.45770458311554,1123.3667226782125,502.5893124065172,490.4285067345602,104.24479457631367,-25.98626557866457
0.34000000000000014,290.02685505148236,79.50266137421363,1123.3961783370564,502.6199202854444,490.4189342960424,104.24286318244198,-26.4777664029337
0.35000000000000014,294.94327681723905,80.54768025303161,1123.4274049302674,502.65112172698855,490.40830414122354,104.24071208362557,-26.98220744576444
0.36000000000000015,299.8599947543596,81.59276221579351,1123.4604654705483,502.68289452313724,490.39660843855137,104.23833938865101,-27.49893600721511
0.37000000000000016,304.77701327431487,82.6379082091108,1123.495421608968,502.7152152664687,490.3838382951389,104.23574293350728,-28.027323334135076
0.38000000000000017,309.6943365538769,83.68311912998249,1123.532333634961,502.74805935015206,490.3699837306412,104.2329202758425,-28.56676461274985
0.3900000000000002,314.61196853511876,84.72839582579505,1123.571260476329,502.78140096794715,490.3550336241096,104.22986868367825,-29.116678961349727
0.4000000000000002,319.5299129254149,85.77373909432245,1123.6122596992384,502.8152131142044,490.3389756361312,104.22658511887188,-29.676509423066186
0.4100000000000002,324.4481731974408,86.81914968372614,1123.6553875082225,502.8494675838653,490.32179610843707,104.22306621579115,-30.245722958715884
